"id";"nama";"id";"provinsi_id";"satuan";"halfday";"fullday";"fullboard";"luar_kota";"dalam_kota";"diklat";"tahun";"created_by";"created_at";"updated_by";"updated_at"
82;MALUKU UTARA;;;;;;;;;;;;;;
93;PAPUA SELATAN;;;;;;;;;;;;;;
11;ACEH;;;;;;;;;;;;;;
17;BENGKULU;;;;;;;;;;;;;;
33;JAWA TENGAH;;;;;;;;;;;;;;
31;DKI JAKARTA;;;;;;;;;;;;;;
34;DAERAH ISTIMEWA YOGYAKARTA;;;;;;;;;;;;;;
12;SUMATERA UTARA;;;;;;;;;;;;;;
18;LAMPUNG;;;;;;;;;;;;;;
64;KALIMANTAN TIMUR;;;;;;;;;;;;;;
71;SULAWESI UTARA;;;;;;;;;;;;;;
72;SULAWESI TENGAH;;;;;;;;;;;;;;
15;JAMBI;;;;;;;;;;;;;;
73;SULAWESI SELATAN;;;;;;;;;;;;;;
13;SUMATERA BARAT;;;;;;;;;;;;;;
91;PAPUA;;;;;;;;;;;;;;
21;KEPULAUAN RIAU;;;;;;;;;;;;;;
19;KEPULAUAN BANGKA BELITUNG;;;;;;;;;;;;;;
65;KALIMANTAN UTARA;;;;;;;;;;;;;;
52;NUSA TENGGARA BARAT;;;;;;;;;;;;;;
32;JAWA BARAT;;;;;;;;;;;;;;
94;PAPUA TENGAH;;;;;;;;;;;;;;
95;PAPUA PEGUNUNGAN;;;;;;;;;;;;;;
62;KALIMANTAN TENGAH;;;;;;;;;;;;;;
51;BALI;;;;;;;;;;;;;;
76;SULAWESI BARAT;;;;;;;;;;;;;;
81;MALUKU;;;;;;;;;;;;;;
74;SULAWESI TENGGARA;;;;;;;;;;;;;;
16;SUMATERA SELATAN;;;;;;;;;;;;;;
36;BANTEN;;;;;;;;;;;;;;
53;NUSA TENGGARA TIMUR;;;;;;;;;;;;;;
92;PAPUA BARAT;;;;;;;;;;;;;;
75;GORONTALO;;;;;;;;;;;;;;
61;KALIMANTAN BARAT;;;;;;;;;;;;;;
14;RIAU;;;;;;;;;;;;;;
35;JAWA TIMUR;;;;;;;;;;;;;;
63;KALIMANTAN SELATAN;;;;;;;;;;;;;;
